no.,ORD_YEAR,ORD_MONTH,ORD_COUNT,ORD_SUM,ORD_SUM_s
1,"2,007",1,161,"87,997.59",87997.59 
2,"2,007",2,180,"86,670.76",86670.76 
3,"2,007",3,219,"155,886.97",155886.97 
4,"2,007",4,199,"96,976.39",96976.39 
5,"2,007",5,199,"110,345.30",110345.30 
6,"2,007",6,212,"143,304.14",143304.14 
7,"2,007",7,246,"211,910.33",211910.33 
8,"2,007",8,105,"81,591.87",81591.87 
9,"2,007",9,109,"92,058.64",92058.64 
10,"2,007",10,175,"117,382.35",117382.35 
11,"2,007",11,165,"128,157.10",128157.10 
12,"2,007",12,109,"74,063.59",74063.59 
13,"2,008",1,225,"142,009.90",142009.90 
14,"2,008",2,241,"163,115.03",163115.03 
15,"2,008",3,251,"153,530.60",153530.60 
16,"2,008",4,245,"172,404.65",172404.65 
17,"2,008",5,244,"190,810.47",190810.47 
18,"2,008",6,195,"172,552.71",172552.71 
19,"2,008",7,231,"179,191.34",179191.34 
20,"2,008",8,226,"148,629.40",148629.40 
21,"2,008",9,268,"168,838.03",168838.03 
22,"2,008",10,293,"191,536.20",191536.20 
23,"2,008",11,250,"158,375.26",158375.26 
24,"2,008",12,294,"221,219.25",221219.25 
25,"2,009",1,327,"208,380.27",208380.27 
26,"2,009",2,267,"218,215.27",218215.27 
27,"2,009",3,332,"220,933.75",220933.75 
28,"2,009",4,309,"165,625.78",165625.78 
29,"2,009",5,318,"257,840.28",257840.28 
30,"2,009",6,351,"164,114.77",164114.77 
31,"2,009",7,337,"173,447.37",173447.37 
32,"2,009",8,398,"154,030.71",154030.71 
33,"2,009",9,367,"148,059.28",148059.28 
34,"2,009",10,410,"185,198.19",185198.19 
35,"2,009",11,363,"173,997.98",173997.98 
36,"2,009",12,416,"203,476.91",203476.91 
37,"2,010",1,307,"173,988.85",173988.85 
38,"2,010",2,341,"217,684.22",217684.22 
39,"2,010",3,459,"242,915.30",242915.30 
40,"2,010",4,403,"297,120.72",297120.72 
41,"2,010",5,424,"291,514.41",291514.41 
42,"2,010",6,410,"272,520.08",272520.08 
43,"2,010",7,404,"248,305.81",248305.81 
44,"2,010",8,444,"328,213.99",328213.99 
45,"2,010",9,443,"271,842.60",271842.60 
46,"2,010",10,392,"274,451.84",274451.84 
47,"2,010",11,329,"270,042.29",270042.29 
48,"2,010",12,401,"318,708.28",318708.28 
49,"2,011",1,430,"285,209.16",285209.16 
50,"2,011",2,420,"281,863.82",281863.82 
51,"2,011",3,410,"396,841.36",396841.36 
52,"2,011",4,468,"559,229.54",559229.54 
53,"2,011",5,378,"356,777.03",356777.03 
54,"2,011",6,467,"428,924.28",428924.28 
55,"2,011",7,543,"424,166.82",424166.82 
56,"2,011",8,577,"471,230.29",471230.29 
57,"2,011",9,530,"354,901.76",354901.76 
58,"2,011",10,552,"389,439.29",389439.29 
59,"2,011",11,502,"468,224.40",468224.40 
60,"2,011",12,490,"443,510.63",443510.63 
61,"2,012",1,508,"292,642.83",292642.83 
62,"2,012",2,490,"332,451.54",332451.54 
63,"2,012",3,568,"490,552.77",490552.77 
64,"2,012",4,497,"347,278.77",347278.77 
65,"2,012",5,610,"396,018.31",396018.31 
66,"2,012",6,550,"376,287.36",376287.36 
67,"2,012",7,533,"349,667.78",349667.78 
68,"2,012",8,565,"528,295.05",528295.05 
69,"2,012",9,457,"575,667.21",575667.21 
70,"2,012",10,561,"433,598.08",433598.08 
71,"2,012",11,558,"478,928.74",478928.74 
72,"2,012",12,414,"602,909.75",602909.75 
73,"2,013",1,530,"379,775.42",379775.42 
74,"2,013",2,584,"489,961.95",489961.95 
75,"2,013",3,625,"449,843.40",449843.40 
76,"2,013",4,705,"568,942.54",568942.54 
77,"2,013",5,685,"554,439.44",554439.44 
78,"2,013",6,601,"495,376.54",495376.54 
79,"2,013",7,758,"495,482.30",495482.30 
80,"2,013",8,653,"468,666.07",468666.07 
81,"2,013",9,593,"372,492.69",372492.69 
82,"2,013",10,600,"484,860.65",484860.65 
83,"2,013",11,516,"394,717.56",394717.56 
84,"2,013",12,448,"304,796.15",304796.15 
85,"2,014",1,627,"459,071.20",459071.20 
86,"2,014",2,611,"481,103",481103.00 
87,"2,014",3,650,"880,095.67",880095.67 
88,"2,014",4,659,"571,884.59",571884.59 
89,"2,014",5,738,"433,885.99",433885.99 
90,"2,014",6,618,"574,440.45",574440.45 
91,"2,014",7,577,"508,620.14",508620.14 
92,"2,014",8,643,"591,119.45",591119.45 
93,"2,014",9,650,"505,397.87",505397.87 
94,"2,014",10,685,"479,943.94",479943.94 
95,"2,014",11,564,"508,483.63",508483.63 
96,"2,014",12,520,"339,363.65",339363.65 
97,"2,015",1,587,"405,748.45",405748.45 
98,"2,015",2,507,"374,451.99",374451.99 
99,"2,015",3,482,"373,299.72",373299.72 
100,"2,015",4,575,"473,117.64",473117.64 
101,"2,015",5,531,"410,251.08",410251.08 
102,"2,015",6,660,"599,115.77",599115.77 
103,"2,015",7,653,"432,077.85",432077.85 
104,"2,015",8,726,"463,100.27",463100.27 
105,"2,015",9,710,"464,747.88",464747.88 
106,"2,015",10,793,"427,461.95",427461.95 
107,"2,015",11,623,"381,240.60",381240.60 
108,"2,015",12,673,"399,906.15",399906.15 
