0,阿拉丁,alading
1,打开,dakai
2,开灯,kaideng
3,亮灯,liangdeng
4,关灯,guandeng
5,关闭,guanbi
6,关掉,guandiao
7,变暗,bianyan
8,变亮,bianliang
9,暗点,andian
10,亮点,liangdian
11,暗一点,anyidian
12,亮一点,liangyidian
13,红色,hongse
14,橙色,chengse
15,黄色,huangse
16,绿色,luse
17,青色,qingse
18,蓝色,lanse
19,紫色,zise
20,白色,baise
21,红颜色,hongyanse
22,橙颜色,chengyanse
23,黄颜色,huangyanse
24,绿颜色,luyanse
25,青颜色,qingyanse
26,蓝颜色,lanyanse
27,紫颜色,ziyanse
28,白颜色,baiyanse
29,暖白色,nuanbaise
30,正白色,zhengbaise
31,睡眠模式,shuimianmoshi
32,最低亮度,zidiliangdu
33,最高亮度,zuigaoliangdu
34,最暗,zuian
35,最亮,zuiliang
